hash,ux_risk_score,functionName,gasUsed,gas_efficiency,transaction_type
0x2f74b6eede484d63b7dacf983b3895e92aed308606ce32d68912b28e2d33dda9,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x4909bc4c8e3509fe41674ba9793fd36fbfae56e02dbbd51bef3cac7cadbeeabf,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x3a8507081d899156acfba1fca00e9ed56b26fd32eae5a8ed91e8179afcf20166,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x7141723f1d8827aafcf597d6b7e27cf7e69fcb9af28450930c9dff2a4b1fbba2,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0xa47878f3bab88686319e7b0eeb8c66ecf5e2ef439bec5854b1cb2eb8ea13a36a,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x57d27cae5d841bad5f3cc7753925a92ef44ccc6c858e897917af4678f509d8b3,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
0x7a58c3f199d3100447f0159e5c0a622baa4abce5f58abb4677dbf19168262198,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
0x9796294bafa311d7057bd808dd9fbcfeba27124771065b565f052c60e252a752,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0xd2ccd62bdab621b78eed7d7f7ed3f28edc08ab709746ad5845eec7d7a13ba356,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x052021cfae0d7146074c609d15b6734be73395604063ec02a6c0cf23a75f2c49,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0xdb291ed7b3ece0cd305c3662ba4d04414d43b1eb84b2621e97cdd0e5753721d9,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0xfd333de766b271e2991ad84b877b2c4dd0142333e44c4854e3c1706aadf5912b,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x04eec5bc88b05b33958dcca4d6b660f91519a0bc5b268c876108bab85aeb18b8,100.0,withdraw(uint256 amount),21624,0.14416,Contract Interaction
0xf56399029fa7318d4a2cf36b68f9792c335fcdb031a134b96441206767b5e022,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
0x3ea3b5a9b3023df6e5fca24964d1c3a4bf7225326dbc61fd3a26c70a9e45723f,100.0,withdraw(uint256 amount),21560,0.14373333333333332,Contract Interaction
0x4f8f5622ef93be39b5c464c2cf444903a3706fd80bad9ad92e750e6327bf1995,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x16e6a34e26d5e5e13cad1126bc1d4d18a243184d577df006b30e00b2427efbdc,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
0x4f2415223ae536ecc3bcc36c4f3401697dda43b9f47a7e56cdd1f16ea0267e46,100.0,"approve(address _spender, uint256 _value)",45448,0.3029866666666667,Contract Interaction
0xe619aa66d99ae25ad3ab9c21ecc66b8c83ac93890d9cb0bbf919a7924374e48f,100.0,"approve(address _spender, uint256 _value)",30448,0.20298666666666668,Contract Interaction
0xdc143b28ee674a38ee95f8b5ad735200dd0568af4de7e693b245ab0acf13feaf,100.0,withdraw(uint256 amount),21560,0.14373333333333332,Contract Interaction
0xcf3d8d2a0a4335ebaef624bea832989fde483c83d1d87d0af20cb11770df2a3e,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x204794e283af3972259f31f164a40d9589f541bd29e4019b2f96a19372243886,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x990dcc955e4e441171ad29b5a2c1228b7ce330c00e52b94781b5658c6a5b0810,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x477119f5e520da2bd5156284130c48e5bdf240a78bc128859c9d195826118f65,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0xe26763ea413a93ffd867ada7b467c7a7e31c8d1195d5e585f1d4d853483b3ee6,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0xa821cf8f76d366688ddec7e51ca2c2c87d0a1364e4dde185c2347e3763b4c624,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x17c870ee11df12eabb906a96c6f80ed20fe4862ccee09e0e9ee7d244207cb928,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0xcd16002c784de127f12515ed1c4c618ebad5bf027820853cc825efca962475d7,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0xab0fd71fb2ba7c176986535142effb15ad7edc246d0d72c45c6fcfb455ad6ebc,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x1cf4845011c638ef67ffd658a6947f639886341ef258250c105fd09d31134947,0.0,deposit(),43346,0.86692,Contract Interaction
0x93d964f2ceeb393560bb6bc8a92972bd7211375eebf96848e82571261ba5b380,100.0,deposit(),43346,0.3023872308958743,Contract Interaction
0x957600ae2596b999bd3de1318917c0ca60176c74aa5c7dbe0e69e33f4c42db51,100.0,"approve(address _spender, uint256 _value)",45512,0.91024,Contract Interaction
0xf275adc2aadd9e73c95fda61b3c265d69d1c541dcdf4aa2aeb96216beb5659f6,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0xdbdc50322c4205ba5ad4cf7fda8544883d279ea562a009d60e6fa0cb4585ae69,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
0xce3b395a8a6491a27915f6328f38884037917f02458e0c701bab2e57333fbdb0,100.0,withdraw(uint256 amount),21624,0.43248,Contract Interaction
0xc7a3af2352bc732e85163e06554e1b971117b9d5d5da09d1777ffcf10dee576d,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x174d9060910db297031466676946bf3f91ed749dafc17a2ba86c473da2bf6149,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x3d3568fb5b2651dcd2c5bf9c681f0a48c9007919585003f375c2da6f5e32128e,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x00357966cd97b50b9c49075b7c642132618f8f30d832ba91f4d0f89a53cf2724,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0xed464c4e24628353fd25f68947b7e7c0aac34a38c77511b537d77fcd1eaf9513,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
0x389bd13b9c9dc800834a2d4ccfe79817519f1fda1629a7c9422e29544ee3007a,100.0,"approve(address _spender, uint256 _value)",45576,0.30384,Contract Interaction
0x0fda7ec2fd9cde1298756f282cffbb8ff157c5f06c2eb590e7c0b405d2b26af6,0.0,deposit(),28346,0.6666666666666666,Contract Interaction
0x3a04e8469670d5a0682b1bcc872a563acc72113c63d8feb52ab464bf0cc25273,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0xd9f53d0cdfa37bf65f604987013a7cf1b44b6f5843615c2b8eff3d098159793e,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x6984afcbefd03fda09c868415b23f92b05529481d5ee03b7fc513c523ffc00e6,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x9b04bbd33a3ba366429ddde42035ba940655a8381b502c2b8dfad998415282a9,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
0xecaa3f41e0c61dbadb5337dbfeca41661d4b30180dcfabd0258883b1575d8795,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
0x0d3648efb5d1c6f147358f45210ce24e952f5034ed6e1f27b00ff7111a72dcdd,100.0,"approve(address _spender, uint256 _value)",45640,0.3042666666666667,Contract Interaction
0x7e2ede545fdc9ca0eaa3a7b89b5b082b272537f0892f3dd3f00e4cc39b0fef58,100.0,withdraw(uint256 amount),21624,0.3850975922496082,Contract Interaction
0xb1a5aa4dd0fc50409a3ee6dcacd3501ce8b9610592f756ddd73c40dbefd603ba,0.0,deposit(),28346,0.6666666666666666,Contract Interaction
0x0a4f5d501ca64e0d9e3f8aa067ce5f620860d57c3f11ac312fa1460861657474,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x45c0d57db83e7b24efaa82a8279c4bc9952b6e72c721fccd45529c80c64e3d7e,100.0,deposit(),28346,0.03015531914893617,Contract Interaction
0x420919ad39b73cc0fad915a0d805cb344ccdee14047558bcb0f73d10dafd3bbb,100.0,"approve(address _spender, uint256 _value)",47176,0.050187234042553194,Contract Interaction
0xc781e1554edd1a6218565894f2c27fcb84f08b9ac75d52fe1247887fdb51c02d,100.0,deposit(),28346,0.18897333333333333,Contract Interaction
0xfef36ad1d8325cfeaecd99260c0cc768a2d94f5d67bb1cd5a93c382464a58437,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x091cd6f2716562e318c3213b9abfc2e4e8b397aff07e5a469f3551eb342cb280,100.0,"approve(address _spender, uint256 _value)",45576,0.30384,Contract Interaction
0x372d3cffb7cae9639df50dd96dc52adfea79fe593e95737820f818e973d868ec,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0xe7ba31065425d85e52bc756d7f907d5c14bcb3df7ea662866b00f9778dd9c774,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x672b0dc16fe40e4ca1eccb4fb4b72271278a0569a95fd8034d31b764c0a81248,100.0,"approve(address _spender, uint256 _value)",30512,0.20341333333333333,Contract Interaction
0x1b8dd4d7759b7abe4233b77419f9ed4ead145657532c731ab2bac75022e2b7e9,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
0xb3ed5d4eacc238636a4684cb05596d876ab5fd48f63395a983d50888f1c9a82c,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
